image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
1143,forged__1143,1,0.0,0.0,0,391,0.6467199325561523
11740,forged__11740,1,0.0,0.0,0,153,0.6693121790885925
12025,forged__12025,1,0.0,0.0,397,5280,1.0
12150,forged__12150,1,0.0,0.0,850,1167,1.0
12629,forged__12629,1,0.0,0.0,843,263,1.0
13123,forged__13123,1,0.0,0.0,2650,158,1.0
13839,forged__13839,1,0.0,0.0,0,778,0.6866085529327393
13971,forged__13971,1,0.0,0.0,0,241,0.8868605494499207
14070,forged__14070,1,0.0,0.0,377,6358,1.0
1419,forged__1419,1,0.0,0.0,0,524,0.8687580823898315
