image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
1143,forged__1143,1,0.0,0.0,0,391,0.6467199325561523
11740,forged__11740,1,0.0,0.0,0,153,0.6693121790885925
13839,forged__13839,1,0.0,0.0,0,778,0.6866085529327393
13971,forged__13971,1,0.0,0.0,0,241,0.8868605494499207
1419,forged__1419,1,0.0,0.0,0,524,0.8687580823898315
14624,forged__14624,1,0.0,0.0,0,3800,0.8371952176094055
14700,forged__14700,1,0.0,0.0,0,380,0.8404474854469299
14930,forged__14930,1,0.0,0.0,0,2262,0.5843722820281982
15061,forged__15061,1,0.0,0.0,0,460,0.2707398533821106
1608,forged__1608,1,0.0,0.0,0,293,0.32712042331695557
