image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
20753,authentic__20753,0,0.0,0.0,35279,0,1.0
54000,authentic__54000,0,0.0,0.0,34433,0,1.0
16294,authentic__16294,0,0.0,0.0,28217,0,1.0
569,authentic__569,0,0.0,0.0,28176,0,1.0
64941,authentic__64941,0,0.0,0.0,27669,0,1.0
13451,authentic__13451,0,0.0,0.0,23706,0,1.0
62519,authentic__62519,0,0.0,0.0,23655,0,1.0
8874,authentic__8874,0,0.0,0.0,21124,0,1.0
10951,authentic__10951,0,0.0,0.0,19149,0,1.0
33580,authentic__33580,0,0.0,0.0,17090,0,1.0
