image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
10296,forged__10296,1,0.0,0.0,0,5698,0.8948026895523071
1143,forged__1143,1,0.0,0.0,0,391,0.5952466726303101
11740,forged__11740,1,0.0,0.0,0,153,0.7799844741821289
12150,forged__12150,1,0.0,0.0,6,1167,0.9156167507171631
13839,forged__13839,1,0.0,0.0,0,778,0.7791439890861511
13971,forged__13971,1,0.0,0.0,0,241,0.8351290822029114
14070,forged__14070,1,0.0,0.0,0,6358,0.7367923259735107
1419,forged__1419,1,0.0,0.0,0,524,0.7052674889564514
14624,forged__14624,1,0.0,0.0,0,3800,0.8159316778182983
14700,forged__14700,1,0.0,0.0,0,380,0.846121609210968
