image_id,image_path,class_name,image_label,gt_area,gt_area_ratio,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,mask_quartile
65311,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/65311.png,forged,1,28614,0.19405110677083334,0,0.0,3.49479275877719e-12,3.49479275877719e-12,0.7158203125,1,Q4
8874,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8874.png,forged,1,4435,0.030076768663194444,22399,0.15190294053819445,3.7266154878000795e-12,3.7266154878000795e-12,0.96875,1,Q2
10296,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/10296.png,forged,1,12758,0.0865207248263889,11793,0.07997639973958333,4.07315384300406e-12,4.07315384300406e-12,0.9873046875,1,Q1
39299,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/39299.png,forged,1,11954,0.08106825086805555,6530,0.04428439670138889,5.410084397287329e-12,5.410084397287329e-12,0.95703125,1,Q2
61725,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/61725.png,forged,1,11201,0.0759616427951389,6643,0.045050726996527776,5.604124635700492e-12,5.604124635700492e-12,0.984375,1,Q3
24749,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/24749.png,forged,1,17019,0.11541748046875,0,0.0,5.875785886327775e-12,5.875785886327775e-12,0.7841796875,1,Q4
6060,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/6060.png,forged,1,16153,0.10954454210069445,0,0.0,6.190800470462509e-12,6.190800470462509e-12,0.70849609375,1,Q3
22797,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/22797.png,forged,1,2796,0.018961588541666668,12783,0.08669026692708333,6.41889723341409e-12,6.41889723341409e-12,0.98974609375,1,Q1
14070,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/14070.png,forged,1,14290,0.09691026475694445,119,0.0008070203993055555,6.94010687759775e-12,6.94010687759775e-12,0.89306640625,1,Q4
44171,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/44171.png,forged,1,8137,0.055182562934027776,6216,0.042154947916666664,6.967184560670471e-12,6.967184560670471e-12,0.9638671875,1,Q3
37856,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/37856.png,forged,1,9522,0.0645751953125,3948,0.026774088541666668,7.423904973961218e-12,7.423904973961218e-12,0.94921875,1,Q2
12025,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/12025.png,forged,1,11938,0.0809597439236111,1220,0.008273654513888888,7.599939200428637e-12,7.599939200428637e-12,0.9658203125,1,Q4
