image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
62519,authentic__62519,0,0.0,0.0,26454,0,1.0
569,authentic__569,0,0.0,0.0,26018,0,1.0
20753,authentic__20753,0,0.0,0.0,22812,0,1.0
54000,authentic__54000,0,0.0,0.0,20566,0,1.0
33580,authentic__33580,0,0.0,0.0,19725,0,1.0
8874,authentic__8874,0,0.0,0.0,19503,0,1.0
17846,authentic__17846,0,0.0,0.0,18889,0,1.0
52396,authentic__52396,0,0.0,0.0,17772,0,1.0
27195,authentic__27195,0,0.0,0.0,17499,0,1.0
32973,authentic__32973,0,0.0,0.0,15531,0,1.0
