image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
1008,forged__1008,1,0.0,0.0,38,4014,0.9202122092247009
1143,forged__1143,1,0.0,0.0,0,391,0.5816888809204102
11740,forged__11740,1,0.0,0.0,1,153,0.9079993963241577
13839,forged__13839,1,0.0,0.0,0,778,0.8092702031135559
13971,forged__13971,1,0.0,0.0,0,241,0.8633955121040344
14624,forged__14624,1,0.0,0.0,18,3800,0.9452231526374817
14700,forged__14700,1,0.0,0.0,0,380,0.8425401449203491
14930,forged__14930,1,0.0,0.0,0,2262,0.828721284866333
15061,forged__15061,1,0.0,0.0,0,460,0.2719559371471405
1608,forged__1608,1,0.0,0.0,0,293,0.5185407996177673
