model_name,degradation,forged_dice,forged_iou,q1_dice,q2_dice,q3_dice,q4_dice,dice_lt_005_count,component_f1_iou010,component_f1_iou025,component_f1_iou050,authentic_fp_rate,image_f1,image_roc_auc,image_auprc,image_specificity,image_recall,inference_time_per_image
segformer_b0_rgb_384_smallmask,clean_png,0.6451007321306009,0.4761244968011811,0.27668516484781513,0.3249351935693173,0.4398551739287181,0.6921767602785507,163,0.4384047908125502,0.41654364465706556,0.3415067434116991,0.3559322033898305,0.7619738751814223,0.8502722323049001,0.8856855442684136,0.3601694915254237,0.9528130671506352,0.0450994346148806
segformer_b0_rgb_384_smallmask,jpeg_q90,0.6437905801823205,0.47469850214495135,0.27329903882341094,0.3178385251145486,0.44068266080921736,0.6920981351539585,163,0.4348597400437548,0.4183161699977197,0.33618916817958694,0.3601694915254237,0.7543103448275862,0.8443200344519979,0.8829863991417182,0.3305084745762712,0.9528130671506352,0.055433126255680504
segformer_b0_rgb_384_smallmask,jpeg_q70,0.6424029601027578,0.47319119092318235,0.24955942413090113,0.3064634629043947,0.435258485854456,0.6920428492274272,168,0.422590683460537,0.40292224302497803,0.325934354287386,0.4300847457627119,0.7401129943502824,0.8208169276200435,0.8655548768895307,0.2775423728813559,0.9509981851179673,0.05167322331276574
segformer_b0_rgb_384_smallmask,jpeg_q50,0.6345784824338228,0.4647491446926554,0.2202837267083333,0.30019002380382703,0.42273617454734463,0.689793947308621,176,0.40783224018225644,0.3871329460137794,0.30937074059338915,0.4470338983050847,0.7390691114245416,0.8043291857639423,0.8511571592447658,0.2733050847457627,0.9509981851179673,0.049511126409178256
segformer_b0_rgb_384_smallmask,gaussian_blur_light,0.6504556102656862,0.4819816341081952,0.27175673811077106,0.3307410943337408,0.43257359589848504,0.6918350038560992,166,0.43978436570176827,0.42121037431120867,0.3463152531923663,0.3495762711864407,0.7650513950073421,0.8475922052354732,0.8834241638082931,0.3855932203389831,0.9455535390199638,0.04398345574372441
segformer_b0_rgb_384_smallmask,gaussian_blur_medium,0.650190107075093,0.4816901331684565,0.26056221921643224,0.3240673931660842,0.42495899740609855,0.6897554322231046,173,0.4360536578504665,0.41717424769146305,0.34713773106253076,0.3177966101694915,0.7637969094922737,0.8420187486542188,0.8778016901845066,0.3877118644067797,0.941923774954628,0.043887979007769425
segformer_b0_rgb_384_smallmask,gaussian_noise_light,0.6366903621296505,0.4670181625974869,0.2567467520136899,0.30356275597086385,0.4315674421088993,0.6841517554974218,165,0.4176707523728581,0.3964429905589078,0.3212852460701013,0.4279661016949153,0.7390070921985815,0.8178812021286413,0.8622378181756745,0.2838983050847458,0.9455535390199638,0.11524628730580021
segformer_b0_rgb_384_smallmask,gaussian_noise_medium,0.6174697352999886,0.4466229427780202,0.17667330040151188,0.2494104625642504,0.3776168904452346,0.6751748194008014,201,0.36288554985293375,0.33920714531823176,0.2698239230884023,0.5148305084745762,0.7294117647058823,0.7627003291396228,0.8141446655595876,0.22245762711864406,0.956442831215971,0.11323094764179964
segformer_b0_rgb_384_smallmask,combined_jpeg70_blur_light,0.6453450345437932,0.4763907053826551,0.24589384459857716,0.3100442797889882,0.4291895664941092,0.6932039769612727,176,0.4241549363825163,0.40219597141790725,0.3270732030679022,0.4067796610169492,0.7410586552217453,0.8226721830877604,0.8664335449117402,0.3029661016949153,0.9401088929219601,0.051479559140471066
efficientnetb0_unet_rgb_384_smallmask,clean_png,0.5769742930841741,0.40545598739370464,0.2833055025462513,0.3173700881170198,0.41265720384409443,0.568471227401717,165,0.4206477119926395,0.4014107827434195,0.3398526134552733,0.23940677966101695,0.7877813504823151,0.8615652588513949,0.8889996993094246,0.5699152542372882,0.8892921960072595,0.0497742121054163
efficientnetb0_unet_rgb_384_smallmask,jpeg_q90,0.5715186453475708,0.40008827800670627,0.2689832596180827,0.3086644284586992,0.39881532391082203,0.5682487114743185,168,0.4103536069945413,0.39015159308169783,0.33459605873648635,0.2584745762711864,0.7792828685258965,0.8517102956104463,0.8809728934134048,0.5444915254237288,0.8874773139745916,0.06141250690523597
efficientnetb0_unet_rgb_384_smallmask,jpeg_q70,0.5726018036021194,0.40115071256718615,0.17321757904347904,0.29021060187946307,0.39708093992189775,0.5762855693189338,194,0.3922954221499706,0.370465574080521,0.3107545244262377,0.2521186440677966,0.7624489795918368,0.8301662616506198,0.8620919101764158,0.5614406779661016,0.8475499092558983,0.05163742346964041
