image_id,image_path,mask_path,label,class_name,has_mask_file,group_id,sample_id
15295,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/15295.png,,0,authentic,False,15295,authentic/15295
39015,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/39015.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/39015.npy,1,forged,True,39015,forged/39015
46568,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/46568.png,,0,authentic,False,46568,authentic/46568
12143,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/12143.png,,0,authentic,False,12143,authentic/12143
20736,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/20736.png,,0,authentic,False,20736,authentic/20736
21014,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/21014.png,,0,authentic,False,21014,authentic/21014
45381,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/45381.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/45381.npy,1,forged,True,45381,forged/45381
32220,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/32220.png,,0,authentic,False,32220,authentic/32220
64935,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/64935.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/64935.npy,1,forged,True,64935,forged/64935
40450,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/40450.png,,0,authentic,False,40450,authentic/40450
56544,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/56544.png,,0,authentic,False,56544,authentic/56544
63871,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/63871.png,,0,authentic,False,63871,authentic/63871
52737,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/52737.png,,0,authentic,False,52737,authentic/52737
1225,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/1225.png,,0,authentic,False,1225,authentic/1225
29083,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/29083.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/29083.npy,1,forged,True,29083,forged/29083
60501,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/60501.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/60501.npy,1,forged,True,60501,forged/60501
28226,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/28226.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/28226.npy,1,forged,True,28226,forged/28226
63654,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/63654.png,,0,authentic,False,63654,authentic/63654
36511,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/36511.png,,0,authentic,False,36511,authentic/36511
55005,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/55005.png,,0,authentic,False,55005,authentic/55005
3795,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/3795.png,,0,authentic,False,3795,authentic/3795
5234,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/5234.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/5234.npy,1,forged,True,5234,forged/5234
65177,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/65177.png,,0,authentic,False,65177,authentic/65177
60867,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/60867.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/60867.npy,1,forged,True,60867,forged/60867
23976,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/23976.png,,0,authentic,False,23976,authentic/23976
30307,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/30307.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/30307.npy,1,forged,True,30307,forged/30307
29058,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/29058.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/29058.npy,1,forged,True,29058,forged/29058
31540,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/31540.png,,0,authentic,False,31540,authentic/31540
25356,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/25356.png,,0,authentic,False,25356,authentic/25356
50311,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/50311.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/50311.npy,1,forged,True,50311,forged/50311
5417,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/5417.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/5417.npy,1,forged,True,5417,forged/5417
