bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,46,0.04979778530643038,0.0,0.04979778530643038
1,0.1,0.2,20,0.1418439220637083,0.05,0.0918439220637083
2,0.2,0.30000000000000004,24,0.24499309808015823,0.25,0.005006901919841766
3,0.30000000000000004,0.4,20,0.34234043657779695,0.35,0.007659563422203031
4,0.4,0.5,23,0.44270368762638257,0.34782608695652173,0.09487760066986084
5,0.5,0.6000000000000001,26,0.5589372538603269,0.23076923076923078,0.3281680230910961
6,0.6000000000000001,0.7000000000000001,52,0.6556390260274594,0.3269230769230769,0.32871594910438245
7,0.7000000000000001,0.8,61,0.7510080122556843,0.3770491803278688,0.3739588319278154
8,0.8,0.9,87,0.8597972845209056,0.3218390804597701,0.5379582040611355
9,0.9,1.0,664,0.9795049147074482,0.6852409638554217,0.2942639508520265
