bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,47,0.05216442906555343,0.0,0.05216442906555343
1,0.1,0.2,29,0.1475934162735939,0.06896551724137931,0.0786278990322146
2,0.2,0.30000000000000004,27,0.25019587410820854,0.2222222222222222,0.027973651885986328
3,0.30000000000000004,0.4,18,0.3481581062078476,0.5,0.1518418937921524
4,0.4,0.5,23,0.4421818347080894,0.2608695652173913,0.18131226949069812
5,0.5,0.6000000000000001,19,0.5591696406665602,0.3157894736842105,0.24338016698234965
6,0.6000000000000001,0.7000000000000001,42,0.6451396076452165,0.30952380952380953,0.33561579812140696
7,0.7000000000000001,0.8,61,0.7484037045572625,0.32786885245901637,0.4205348520982461
8,0.8,0.9,90,0.855204799440172,0.3,0.5552047994401721
9,0.9,1.0,667,0.9812295468135931,0.6926536731634183,0.2885758736501748
