image_id,image_path,class_name,gt_area,gt_area_ratio,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,gt_component_count,pred_component_count,matched_component_count
5270,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/5270.png,forged,0,0.0,11592,0.1768798828125,8.626639061347251e-12,8.626639061347251e-12,0.9970703125,1,2,3,2
35586,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/35586.png,forged,0,0.0,11929,0.1820220947265625,8.382932349665663e-12,8.382932349665663e-12,0.9970703125,1,2,2,2
26492,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/26492.png,forged,0,0.0,8053,0.1228790283203125,1.2417732521887275e-11,1.2417732521887275e-11,0.99609375,1,1,2,1
37903,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/37903.png,forged,0,0.0,3641,0.0555572509765625,2.746498214700728e-11,2.746498214700728e-11,0.99560546875,1,2,2,1
6419,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/6419.png,forged,0,0.0,9665,0.1474761962890625,1.0346611484631694e-11,1.0346611484631694e-11,0.9951171875,1,6,4,2
58338,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/58338.png,forged,0,0.0,10761,0.1641998291015625,9.292816652641084e-12,9.292816652641084e-12,0.99267578125,1,2,4,2
57927,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/57927.png,forged,0,0.0,10492,0.16009521484375,9.531071292322424e-12,9.531071292322424e-12,0.9921875,1,2,3,2
53527,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/53527.png,forged,0,0.0,10870,0.165863037109375,9.199632014634777e-12,9.199632014634777e-12,0.9921875,1,3,6,0
52050,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/52050.png,forged,0,0.0,1956,0.02984619140625,5.112474437366438e-11,5.112474437366438e-11,0.99072265625,1,2,2,0
44420,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/44420.png,forged,0,0.0,1955,0.0298309326171875,5.1150895138048546e-11,5.1150895138048546e-11,0.990234375,1,2,1,1
