bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,59,0.1499778618246822,0.01694915254237288,0.1330287092823093
2,0.2,0.30000000000000004,26,0.24863375150240385,0.07692307692307693,0.17171067457932693
3,0.30000000000000004,0.4,33,0.34326171875,0.15151515151515152,0.19174656723484848
4,0.4,0.5,33,0.4503802675189394,0.15151515151515152,0.29886511600378785
5,0.5,0.6000000000000001,36,0.5543619791666666,0.2777777777777778,0.27658420138888884
6,0.6000000000000001,0.7000000000000001,58,0.6474861934267241,0.27586206896551724,0.37162412446120685
7,0.7000000000000001,0.8,99,0.7552823153409091,0.3333333333333333,0.42194898200757575
8,0.8,0.9,113,0.8556588772123894,0.39823008849557523,0.4574287887168142
9,0.9,1.0,566,0.9787847835689046,0.7667844522968198,0.21200033127208484
