bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,47,0.1448792802526596,0.02127659574468085,0.12360268450797873
2,0.2,0.30000000000000004,29,0.23886634563577586,0.034482758620689655,0.2043835870150862
3,0.30000000000000004,0.4,38,0.3527703536184211,0.18421052631578946,0.1685598273026316
4,0.4,0.5,35,0.4507045200892857,0.22857142857142856,0.22213309151785712
5,0.5,0.6000000000000001,52,0.5538611778846154,0.23076923076923078,0.32309194711538464
6,0.6000000000000001,0.7000000000000001,69,0.6522729846014492,0.2608695652173913,0.3914034193840579
7,0.7000000000000001,0.8,103,0.7520716398665048,0.4368932038834951,0.3151784359830097
8,0.8,0.9,116,0.855279330549569,0.4396551724137931,0.41562415813577586
9,0.9,1.0,534,0.976676798045412,0.7640449438202247,0.21263185422518727
