image_id,image_path,class_name,gt_area,gt_area_ratio,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,gt_component_count,pred_component_count,matched_component_count
54527,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/54527.png,forged,9647,0.1472015380859375,9897,0.1510162353515625,0.9635693819076772,0.929699842022811,0.998046875,1,1,1,1
4222,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/4222.png,forged,12206,0.186248779296875,13239,0.2020111083984375,0.9539005698567345,0.9118641520782037,0.9873046875,1,1,1,1
57328,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/57328.png,forged,6289,0.0959625244140625,6335,0.0966644287109375,0.9301330798484622,0.8693913816101082,1.0,1,2,2,2
8074,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8074.png,forged,14729,0.2247467041015625,15366,0.234466552734375,0.9123110151190819,0.8387609213671487,1.0,1,2,2,2
24332,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/24332.png,forged,9627,0.1468963623046875,10253,0.1564483642578125,0.9011066398395317,0.8200128169933167,0.998046875,1,2,2,2
30045,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/30045.png,forged,6130,0.093536376953125,6699,0.1022186279296875,0.8890794294185901,0.8003087286022971,0.9951171875,1,2,2,2
1856,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/1856.png,forged,28408,0.4334716796875,35209,0.5372467041015625,0.8733200245219465,0.7751269602104606,0.9951171875,1,2,1,1
17493,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/17493.png,forged,11142,0.170013427734375,14371,0.2192840576171875,0.8550934817549677,0.7468675111280598,0.98828125,1,2,2,2
40919,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/40919.png,forged,5389,0.0822296142578125,5503,0.0839691162109375,0.8481454278383388,0.7363303044837186,0.9990234375,1,2,2,2
63947,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/63947.png,forged,10551,0.1609954833984375,11708,0.17864990234375,0.8444224807949844,0.7307363346572526,0.9970703125,1,3,3,3
