sample_id,image_id,gt_area,surface_area,edge_area,area_delta_edge_minus_surface,change_pixels,surface_dice,edge_dice,dice_delta_edge_minus_surface
forged__54040,54040,7344,7044,32312,25268,25268,0.7142062830136224,0.33422432923138995,-0.3799819537822325
forged__33295,33295,5616,5284,26103,20819,20819,0.5110091743119266,0.2776884517166367,-0.2333207225952899
forged__44236,44236,5775,22515,41937,19422,19422,0.3904559915164369,0.24040073775989268,-0.15005525375654422
forged__9218,9218,9317,18809,37274,18465,18465,0.4004835383630804,0.33877787555536476,-0.06170566280771567
forged__20753,20753,24485,26531,43466,16935,16935,0.7505488474204172,0.6867890097275978,-0.06375983769281934
forged__27829,27829,3750,22441,38004,15563,15563,0.14317895460272612,0.10705561143842506,-0.03612334316430106
forged__56438,56438,2769,25460,41017,15557,15557,0.1224272910836374,0.11058329146302472,-0.01184399962061268
forged__569,569,34445,24810,39663,14853,14853,0.8175175090709644,0.8301937712527663,0.012676262181801845
forged__47261,47261,15600,36084,49546,13462,13462,0.4233418466062998,0.45946028919657383,0.036118442590274025
forged__62663,62663,11596,13729,24703,10974,10974,0.4565449160908194,0.49825064051351275,0.04170572442269338
forged__29935,29935,7736,12696,22755,10059,10059,0.37196554424432265,0.3590567708504149,-0.01290877339390778
forged__52396,52396,17570,18077,27730,9653,9653,0.8275591213846888,0.7389403973509934,-0.08861872403369542
forged__21034,21034,8591,11153,20182,9029,9029,0.4312196110210697,0.44430542522503735,0.01308581420396765
forged__13451,13451,20734,28446,37347,8901,8901,0.8320048800325336,0.7117301699350906,-0.12027471009744295
forged__38294,38294,4682,6935,15225,8290,8290,0.35895670138589997,0.23690159240468178,-0.12205510898121819
forged__33686,33686,6594,3959,12178,8219,8219,0.6968634511513314,0.5778819518431707,-0.11898149930816071
forged__63245,63245,8576,11608,19358,7750,7750,0.6552715021799446,0.5324693921386124,-0.12280211004133212
forged__48272,48272,8807,5849,12677,6828,6828,0.12131550218340612,0.3805622789052318,0.2592467767218257
forged__17846,17846,18234,22449,29170,6721,6721,0.6963596588255536,0.7215002953337271,0.025140636508173442
forged__5436,5436,6840,6665,13180,6515,6515,0.5004072565716401,0.4372627372627373,-0.0631445193089028
forged__62519,62519,18716,23542,29979,6437,6437,0.8184485777840882,0.7435260293664647,-0.07492254841762347
forged__24600,24600,8272,14095,20518,6423,6423,0.5120042920373765,0.5020493226814866,-0.009954969355889909
forged__27195,27195,16480,22324,28614,6290,6290,0.6909596948768169,0.6920211114560696,0.0010614165792527386
forged__1856,1856,28655,20584,26803,6219,6219,0.7514774873575824,0.8191063507519204,0.06762886339433805
forged__10458,10458,3874,7776,13779,6003,6003,0.3536480686695279,0.24709681074038406,-0.10655125792914386
forged__54000,54000,10648,28455,34458,6003,6003,0.4315269928138506,0.43368953132620935,0.002162538512358758
forged__5130,5130,5721,6916,12831,5915,5915,0.5808340587164675,0.465610176800345,-0.11522388191612254
forged__10296,10296,5698,2991,8889,5898,5898,0.36667050293474507,0.5407554671968191,0.17408496426207404
forged__18000,18000,4284,5668,11174,5506,5506,0.42865755627009644,0.3122008021736318,-0.11645675409646467
forged__46907,46907,8839,6018,11207,5189,5189,0.37369590092212424,0.5479397386012173,0.17424383767909302
forged__339,339,20490,28857,34003,5146,5146,0.7951040590106795,0.7483162975061017,-0.04678776150457775
forged__10,10,185,10096,15146,5050,5050,0.0,0.004565912204031048,0.004565912204031048
forged__1940,1940,4846,8762,13523,4761,4761,0.5445326278659612,0.4947465839185584,-0.049786043947402825
forged__44778,44778,6168,5015,9776,4761,4761,0.5384959313243316,0.38961364776718516,-0.14888228355714644
forged__33580,33580,25830,19126,23834,4708,4708,0.6143785034255717,0.6737677190721649,0.059389215646593274
forged__28645,28645,6025,3037,7727,4690,4690,0.31648642683734274,0.27486910994764396,-0.041617316889698774
forged__3110,3110,5466,6738,11425,4687,4687,0.8693870862012455,0.647208572612634,-0.22217851358861151
forged__50158,50158,12442,13639,18292,4653,4653,0.6440703960737701,0.6721546170365068,0.02808422096273666
forged__32973,32973,23284,38237,42814,4577,4577,0.7318151525495359,0.6960271112590396,-0.035788041290496286
forged__40373,40373,15479,17161,21737,4576,4576,0.8634191176470588,0.820292347377472,-0.04312677026958678
forged__14770,14770,17448,19122,23646,4524,4524,0.7399507793273175,0.742930841485375,0.0029800621580575726
forged__414,414,7496,13245,17759,4514,4514,0.5766356491972422,0.5415165313799247,-0.03511911781731747
forged__44666,44666,12180,14538,19028,4490,4490,0.684931506849315,0.7144321968725967,0.029500690023281706
forged__27061,27061,4443,7316,11755,4439,4439,0.43779232927970063,0.4822817631806396,0.04448943390093896
forged__53927,53927,6018,4189,8557,4368,4368,0.5276770843538748,0.3960205831903945,-0.13165650116348032
forged__46698,46698,8106,14020,18352,4332,4332,0.6803760282021152,0.6022375085040441,-0.07813851969807106
forged__41171,41171,3553,5316,9510,4194,4194,0.411771338369602,0.32442777309959425,-0.08734356527000775
forged__53527,53527,550,4709,8900,4191,4191,0.022818026240730177,0.04126984126984127,0.018451815029111092
forged__8733,8733,6734,16856,21006,4150,4150,0.5600678253497244,0.4852198990627253,-0.07484792628699916
forged__20833,20833,5137,6940,11011,4071,4071,0.36482570174712264,0.4217240525142433,0.05689835076712063
forged__15426,15426,8170,15045,19097,4052,4052,0.5278483738961878,0.49862471118934976,-0.029223662706838016
forged__35222,35222,14968,17049,21077,4028,4028,0.7836461879626448,0.7702039117769455,-0.013442276185699376
forged__43085,43085,4092,10569,14569,4000,4000,0.5582156742377737,0.43856170623224905,-0.11965396800552469
forged__55651,55651,3059,4947,8936,3989,3989,0.0,0.002667778240933722,0.002667778240933722
forged__36746,36746,6530,11732,15677,3945,3945,0.3697294929361516,0.32566307920925835,-0.04406641372689324
forged__4321,4321,6811,12223,16146,3923,3923,0.6393821582431438,0.5729842749488173,-0.0663978832943265
forged__899,899,4837,5689,9584,3895,3895,0.4668440053201596,0.34172387490465295,-0.12512013041550668
forged__44555,44555,4583,2386,6274,3888,3888,0.46663796814464054,0.4012158054711246,-0.06542216267351592
forged__50690,50690,3834,3408,7269,3861,3861,0.5611709472521403,0.4373592722687562,-0.12381167498338413
forged__45767,45767,2983,2796,6598,3802,3802,0.6270981138605295,0.46759210938315415,-0.15950600447737534
forged__47916,47916,9280,11665,15432,3767,3767,0.8814514203867272,0.7510521204273227,-0.13039929995940447
forged__52927,52927,4962,7266,10981,3715,3715,0.7824664703958129,0.6205858370444709,-0.16188063335134195
forged__52590,52590,3310,6393,10082,3689,3689,0.6290837885190147,0.48446833930704897,-0.14461544921196573
forged__46309,46309,2591,2767,6449,3682,3682,0.5625233296005973,0.4743362831858407,-0.08818704641475655
