path,file,stem,suffix,shape,ndim,dtype,min,max,mean,has_nan,file_size_kb,group
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10.png,10.png,10,.png,"(512, 648, 3)",3,uint8,0.0,255.0,95.0064079378858,False,237.466796875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10015.png,10015.png,10015,.png,"(1200, 1600, 3)",3,uint8,0.0,240.0,7.296092013888889,False,1656.603515625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10017.png,10017.png,10017,.png,"(256, 320, 4)",3,uint8,30.0,255.0,194.55374145507812,False,101.3759765625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10030.png,10030.png,10030,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,90.94133283283283,False,1033.064453125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10070.png,10070.png,10070,.png,"(712, 414, 4)",3,uint8,4.0,255.0,188.31629535770503,False,564.78125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1008.png,1008.png,1008,.png,"(158, 1310, 3)",3,uint8,67.0,233.0,177.6026717557252,False,82.20703125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10138.png,10138.png,10138,.png,"(3888, 2592, 3)",3,uint8,0.0,255.0,164.0154377878965,False,10549.8046875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10139.png,10139.png,10139,.png,"(846, 759, 4)",3,uint8,2.0,255.0,202.15228020258084,False,1313.5576171875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10147.png,10147.png,10147,.png,"(1912, 2568)",2,uint8,16.0,255.0,61.00787879306299,False,1343.0166015625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10152.png,10152.png,10152,.png,"(152, 1201, 3)",3,uint8,73.0,214.0,178.77442591699898,False,83.4384765625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10176.png,10176.png,10176,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,143.66456706706705,False,1130.5380859375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10180.png,10180.png,10180,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,120.50002052052052,False,1130.88671875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10208.png,10208.png,10208,.png,"(520, 696, 3)",3,uint8,0.0,255.0,6.979260610079575,False,262.890625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10266.png,10266.png,10266,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,83.65244144144144,False,1079.19921875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10277.png,10277.png,10277,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,108.30105355355356,False,1261.7119140625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10290.png,10290.png,10290,.png,"(1200, 1600, 3)",3,uint8,0.0,255.0,32.154039930555555,False,2227.53125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10296.png,10296.png,10296,.png,"(81, 113, 4)",3,uint8,22.0,255.0,216.9035288976292,False,17.84765625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10348.png,10348.png,10348,.png,"(256, 320, 4)",3,uint8,14.0,255.0,196.46624450683595,False,105.90625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10398.png,10398.png,10398,.png,"(402, 618, 4)",3,uint8,5.0,255.0,214.09899732727945,False,363.44921875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10408.png,10408.png,10408,.png,"(64, 434, 3)",3,uint8,3.0,209.0,192.27916186635946,False,15.3046875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1041.png,1041.png,1041,.png,"(140, 403, 4)",3,uint8,6.0,255.0,171.88749556894717,False,122.880859375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10435.png,10435.png,10435,.png,"(422, 1137, 3)",3,uint8,37.0,227.0,192.21143401401378,False,191.630859375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10448.png,10448.png,10448,.png,"(68, 753, 3)",3,uint8,31.0,163.0,92.55886909876833,False,46.2060546875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10457.png,10457.png,10457,.png,"(256, 256, 4)",3,uint8,0.0,255.0,66.78428649902344,False,29.0107421875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10458.png,10458.png,10458,.png,"(156, 536, 3)",3,uint8,0.0,206.0,105.29416618828932,False,48.56640625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10476.png,10476.png,10476,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,115.44743743743744,False,1031.0439453125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10570.png,10570.png,10570,.png,"(458, 1216, 3)",3,uint8,1.0,255.0,192.1966370278863,False,971.1494140625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10602.png,10602.png,10602,.png,"(490, 655, 3)",3,uint8,114.0,159.0,153.08979280261724,False,106.7607421875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10632.png,10632.png,10632,.png,"(256, 256, 4)",3,uint8,2.0,255.0,69.47774505615234,False,35.36328125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10636.png,10636.png,10636,.png,"(360, 360, 4)",3,uint8,0.0,255.0,69.34153935185185,False,51.7783203125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10645.png,10645.png,10645,.png,"(120, 640, 3)",3,uint8,16.0,255.0,74.75126302083333,False,63.8896484375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10703.png,10703.png,10703,.png,"(512, 620, 3)",3,uint8,0.0,255.0,203.79512348790323,False,280.966796875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10730.png,10730.png,10730,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,135.6013033033033,False,1219.015625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10742.png,10742.png,10742,.png,"(256, 256, 4)",3,uint8,1.0,255.0,67.65039825439453,False,30.0234375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10799.png,10799.png,10799,.png,"(3888, 2592, 3)",3,uint8,0.0,255.0,172.74375029107182,False,10251.8046875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10838.png,10838.png,10838,.png,"(573, 355, 3)",3,uint8,157.0,246.0,215.33314160705945,False,94.61328125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10855.png,10855.png,10855,.png,"(360, 360, 4)",3,uint8,4.0,255.0,73.72683449074074,False,59.421875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10878.png,10878.png,10878,.png,"(507, 180, 3)",3,uint8,14.0,234.0,210.22588209511287,False,52.5166015625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10884.png,10884.png,10884,.png,"(392, 380, 3)",3,uint8,5.0,197.0,154.2951754385965,False,159.884765625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10886.png,10886.png,10886,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,136.55896246246246,False,1323.27734375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10911.png,10911.png,10911,.png,"(256, 256, 4)",3,uint8,1.0,255.0,66.59256362915039,False,29.0478515625,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10939.png,10939.png,10939,.png,"(360, 360, 4)",3,uint8,5.0,255.0,74.19486111111111,False,60.90234375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10951.png,10951.png,10951,.png,"(177, 673, 3)",3,uint8,0.0,230.0,201.3958999672602,False,41.9755859375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10980.png,10980.png,10980,.png,"(512, 512, 4)",3,uint8,59.0,255.0,202.303204536438,False,508.55859375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10986.png,10986.png,10986,.png,"(231, 275, 4)",3,uint8,3.0,255.0,184.30408894136167,False,124.798828125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10991.png,10991.png,10991,.png,"(256, 256, 4)",3,uint8,11.0,255.0,90.15646362304688,False,52.5205078125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10992.png,10992.png,10992,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,141.2071121121121,False,1156.9501953125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1101.png,1101.png,1101,.png,"(1200, 1600, 3)",3,uint8,0.0,254.0,23.973556597222224,False,2015.3251953125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11010.png,11010.png,11010,.png,"(1200, 1600, 3)",3,uint8,0.0,253.0,2.9907996527777776,False,1015.9404296875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11128.png,11128.png,11128,.png,"(365, 483, 3)",3,uint8,16.0,158.0,131.36154740633597,False,104.3876953125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11206.png,11206.png,11206,.png,"(666, 1000, 3)",3,uint8,0.0,255.0,132.3986901901902,False,1235.517578125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11223.png,11223.png,11223,.png,"(1200, 1600, 3)",3,uint8,0.0,201.0,4.880801388888889,False,1489.578125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11240.png,11240.png,11240,.png,"(214, 755, 3)",3,uint8,0.0,254.0,214.8002661385158,False,62.685546875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11249.png,11249.png,11249,.png,"(512, 704, 3)",3,uint8,0.0,255.0,109.3231201171875,False,238.970703125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11277.png,11277.png,11277,.png,"(1200, 1600, 3)",3,uint8,0.0,241.0,3.5361946180555557,False,1527.73828125,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11296.png,11296.png,11296,.png,"(512, 512, 4)",3,uint8,10.0,255.0,202.60181713104248,False,580.2646484375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11299.png,11299.png,11299,.png,"(473, 925, 3)",3,uint8,0.0,230.0,199.39397520141705,False,152.583984375,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11307.png,11307.png,11307,.png,"(520, 696, 3)",3,uint8,0.0,255.0,7.49470324933687,False,276.2529296875,train_authentic
/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11356.png,11356.png,11356,.png,"(256, 256, 4)",3,uint8,9.0,255.0,76.76380920410156,False,38.6884765625,train_authentic
