image_id,image_path,mask_path,label,class_name,has_mask_file,group_id,sample_id
15295,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/15295.png,,0,authentic,False,15295,authentic/15295
46568,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/46568.png,,0,authentic,False,46568,authentic/46568
59655,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/59655.png,,0,authentic,False,59655,authentic/59655
22346,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/22346.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/22346.npy,1,forged,True,22346,forged/22346
64935,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/64935.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/64935.npy,1,forged,True,64935,forged/64935
40450,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/40450.png,,0,authentic,False,40450,authentic/40450
63871,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/63871.png,,0,authentic,False,63871,authentic/63871
52737,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/52737.png,,0,authentic,False,52737,authentic/52737
1225,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/1225.png,,0,authentic,False,1225,authentic/1225
64194,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/64194.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/64194.npy,1,forged,True,64194,forged/64194
29083,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/29083.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/29083.npy,1,forged,True,29083,forged/29083
41484,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/41484.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/41484.npy,1,forged,True,41484,forged/41484
60501,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/60501.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/60501.npy,1,forged,True,60501,forged/60501
28226,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/28226.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/28226.npy,1,forged,True,28226,forged/28226
38698,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/38698.png,,0,authentic,False,38698,authentic/38698
63654,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/63654.png,,0,authentic,False,63654,authentic/63654
53028,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/53028.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/53028.npy,1,forged,True,53028,forged/53028
35850,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/35850.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/35850.npy,1,forged,True,35850,forged/35850
59069,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/59069.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/59069.npy,1,forged,True,59069,forged/59069
36511,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/36511.png,,0,authentic,False,36511,authentic/36511
55005,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/55005.png,,0,authentic,False,55005,authentic/55005
3795,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/3795.png,,0,authentic,False,3795,authentic/3795
65177,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/65177.png,,0,authentic,False,65177,authentic/65177
52590,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/52590.png,,0,authentic,False,52590,authentic/52590
30307,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/30307.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/30307.npy,1,forged,True,30307,forged/30307
29058,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/forged/29058.png,/content/drive/MyDrive/bitirmeProjesi/dataset/train_masks/29058.npy,1,forged,True,29058,forged/29058
38484,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/38484.png,,0,authentic,False,38484,authentic/38484
39702,/content/drive/MyDrive/bitirmeProjesi/dataset/train_images/authentic/39702.png,,0,authentic,False,39702,authentic/39702
